"Name","Score","Rank","The Explorer I","The Explorer II","The Explorer III","The Heretic I","The Heretic II","The Heretic III","Slow and Steady I","Slow and Steady II","Slow and Steady III","The Politician I","The Politician II","The Politician III","The Pious I","The Pious II","The Pious III","Nature's Ally I","Nature's Ally II","Nature's Ally III","Avarice I","Avarice II","Avarice III","The Inheritor I","The Inheritor II","The Inheritor III","Gelatinous Body I","Gelatinous Body II","Gelatinous Body III","Lord of Darkness I","Lord of Darkness II","Lord of Darkness III","Spiteful I","Spiteful II","Spiteful III","Speed Demon I","Speed Demon II","Speed Demon III","Nemelex' Choice I","Nemelex' Choice II","Nemelex' Choice III","The Conqueror I","The Conqueror II","The Conqueror III","The Prophet I","The Prophet II","The Prophet III","The Ascetic I","The Ascetic II","The Ascetic III","The Lorekeeper I","The Lorekeeper II","The Lorekeeper III","Vow of Courage I","Vow of Courage II","Vow of Courage III","Brute Force I","Brute Force II","Brute Force III","Graceful I","Graceful II","Graceful III","Ruthless Efficiency I","Ruthless Efficiency II","Ruthless Efficiency III","Descent into Madness I","Descent into Madness II","Descent into Madness III","The Harvest I","The Harvest II","The Harvest III","Angel of Justice I","Angel of Justice II","Angel of Justice III","T.Score","T.Rank"
"bagonaho",2293.348,1,"","","X","","X","","","X","","X","","","","X","","","X","","","","X","","X","","","X","","","","X","","X","","","","X","","","X","","","X","","X","","","","X","X","","","","","X","","X","","","","X","","","","X","","","","","X","","","X",3078,22
"hungryspirit",1086.881,2,"","","X","X","","","","X","","","X","","","X","","","X","","","","X","","","","","","X","","","X","","","","","","X","","","X","","X","","","","X","X","","","X","","","","","X","X","","","X","","","","X","","","X","","","","X","","","X",2853,36
"yermak",1046.552,3,"","","X","","","","","","X","","","X","","","X","","","X","","X","","","","","","","X","X","","","","","","","","X","","","X","","","X","","","X","X","","","","","X","","","X","","","","","","","X","","","","","X","","","X","","","X",6233,1
"snack",700.61,4,"","X","","","","","","X","","","X","","","","X","X","","","","X","","","","X","","","X","","","","","","X","","","X","","","X","","","X","","X","","X","","","X","","","","","X","","","","X","","","","","","X","","","","","X","","","X",3721,13
"p0werm0de",596.433,5,"","","X","X","","","X","","","","","X","","X","","","X","","","X","","","","","","","X","X","","","","","","","","X","","","X","","","X","X","","","X","","","X","","","","X","","","","","","","X","","X","","","","X","","X","","","","X",3513,14
"beargit",570.519,6,"","","X","","","","","","X","","X","","","","X","","X","","","X","","X","","","","","X","","","","","","","","","X","","","X","","","X","","","X","","","","X","","","X","","","","","","","","","X","","","X","","","","","X","","","X",4650,4
"eld",522.709,7,"","","X","X","","","X","","","","","X","","X","","","X","","","X","","","","","","","X","X","","","X","","","","","X","","","X","","","X","","","","X","","","X","","","","","X","","","X","X","","","X","","","","","X","","","X","","","X",3997,8
"shotax",478.302,8,"","X","","","","","X","","","","","","X","","","X","","","","X","","","X","","","","","","","","","","X","","","","","","","","X","","","","","","","","X","","","X","","","","","X","X","","","","","","X","","","X","","","","","",1151,234
"enterq",460.103,9,"","X","","","","","X","","","X","","","X","","","","","","","X","","","","","X","","","X","","","","","","","","X","X","","","","","X","X","","","","","X","","","X","X","","","X","","","X","","","X","","","X","","","","X","","","","",1415,169
"charly",451.41,10,"","","X","X","","","","","X","","","X","","","X","","X","","","X","","","","","","","X","X","","","","","","","","X","","","X","","","X","","X","","","","","X","","","","","X","","","","X","","","","","","","X","","","X","","","","X",4868,3
